original,wt
38.7011494253,-2.11193675199
38.7011494253,26.3223473533
38.7011494253,53.3913524508
38.7011494253,77.781458464
38.7011494253,98.3338781541
37.5713601533,114.108591507
37.5713601533,124.434332268
37.5713601533,128.941619004
37.5713601533,127.576999573
37.5713601533,120.597966387
38.0244252874,108.54930425
38.0244252874,92.2228571634
38.0244252874,72.6037573131
38.0244252874,50.8069753522
38.0244252874,28.008572879
36.1163793103,5.37623637545
36.1163793103,-15.9964570812
36.1163793103,-35.1480272641
36.1163793103,-51.2960143536
36.1163793103,-63.8704206652
34.8840996169,-72.5322784249
34.8840996169,-77.1770233452
34.8840996169,-77.923391323
34.8840996169,-75.089485087
34.8840996169,-69.1584172906
33.0162835249,-60.7364808527
33.0162835249,-50.5070996235
33.0162835249,-39.1838659092
33.0162835249,-27.4657884298
33.0162835249,-15.9974843723
30.6393678161,-5.33649539971
30.6393678161,4.07075775816
30.6393678161,11.9035871147
30.6393678161,17.9721376779
30.6393678161,22.2135603219
29.214559387,24.6804046068
29.214559387,25.5228099934
29.214559387,24.9663527075
29.214559387,23.287524943
29.214559387,20.7887887984
28.629789272,17.7749760803
28.629789272,14.5325225159
28.629789272,11.3126626811
28.629789272,8.31930482288
28.629789272,5.70188754355
27.9545019157,3.55312520275
27.9545019157,1.91120316454
27.9545019157,0.765708460971
27.9545019157,0.0663893431128
27.9545019157,-0.266265913922
28.0751915709,-0.32965655941
28.0751915709,-0.227866064908
28.0751915709,-0.0614626761974
28.0751915709,0.0810377855092
28.0751915709,0.129594095835
25.9401340996,0.0367098437231
25.9401340996,-0.22087689396
25.9401340996,-0.642727314149
25.9401340996,-1.20715059278
25.9401340996,-1.87514958635
24.8529693487,-2.59538151433
24.8529693487,-3.30963239905
24.8529693487,-3.95832568586
24.8529693487,-4.4856411978
24.8529693487,-4.84390173439
24.4066091954,-4.99698156887
24.4066091954,-4.92259413043
24.4066091954,-4.6134163121
24.4066091954,-4.0770965506
24.4066091954,-3.33526736959
23.3232758621,-2.42173686843
23.3232758621,-1.38006624299
23.3232758621,-0.26075242745
23.3232758621,0.881771357799
23.3232758621,1.99212540031
22.3927203065,3.01680327361
22.3927203065,3.90669835219
22.3927203065,4.61925220764
22.3927203065,5.12017588099
22.3927203065,5.38472544231
22.0766283525,5.39853644151
22.0766283525,5.15803719554
22.0766283525,4.67046880373
22.0766283525,3.95354169214
22.0766283525,3.03475635393
21.3855363985,1.95041208984
21.3855363985,0.744324263891
21.3855363985,-0.533730138627
21.3855363985,-1.82981562202
21.3855363985,-3.08785905947
21.1350574713,-4.25184511769
21.1350574713,-5.26812722652
21.1350574713,-6.08777756482
21.1350574713,-6.6688824668
21.1350574713,-6.9786755139
21.061302682,-6.99539179484
21.061302682,-6.70972548929
21.061302682,-6.12578056332
21.061302682,-5.26142165962
21.061302682,-4.14795898934
21.4861111111,-2.8291359848
21.4861111111,-1.3594295403
21.4861111111,0.198283015922
21.4861111111,1.77559189806
21.4861111111,3.30181904249
21.8572796935,4.70750658558
21.8572796935,5.92793492251
21.8572796935,6.90646552241
21.8572796935,7.59750766263
21.8572796935,7.96892659185
21.8553639847,8.0037424206
21.8553639847,7.70101221207
21.8553639847,7.07583926302
21.8553639847,6.1585096331
21.8553639847,4.99281237734
20.4813218391,3.63365235478
20.4813218391,2.14410891275
20.4813218391,0.59212679745
20.4813218391,-0.952955133336
20.4813218391,-2.42382773279
19.7844827586,-3.75838936382
19.7844827586,-4.9025042046
19.7844827586,-5.81220430986
19.7844827586,-6.45524372844
19.7844827586,-6.81196242591
19.1326628352,-6.8754673791
19.1326628352,-6.65118386456
19.1326628352,-6.15586798287
19.1326628352,-5.4161989662
19.1326628352,-4.46708496932
18.8352490421,-3.3498182101
18.8352490421,-2.11020511172
18.8352490421,-0.796776285492
18.8352490421,0.540847455263
18.8352490421,1.85338986957
18.4367816092,3.09314520923
18.4367816092,4.21501589999
18.4367816092,5.17740616871
18.4367816092,5.94303003286
18.4367816092,6.47969533456
17.8687739464,6.76111738108
17.8687739464,6.76779709182
17.8687739464,6.48797139851
17.8687739464,5.91861107041
17.8687739464,5.06640694681
18.3908045977,3.94865392891
18.3908045977,2.59391714432
18.3908045977,1.04235012132
18.3908045977,-0.654466585392
18.3908045977,-2.43428443385
18.2140804598,-4.22563317054
18.2140804598,-5.95000147503
18.2140804598,-7.52474542042
18.2140804598,-8.86665717541
18.2140804598,-9.89606289085
18.4899425287,-10.5412582159
18.4899425287,-10.7430379311
18.4899425287,-10.4590379534
18.4899425287,-9.6675878074
18.4899425287,-8.37077266669
19.2409003831,-6.59642778687
19.2409003831,-4.39883437856
19.2409003831,-1.85795268894
19.2409003831,0.922888416297
19.2409003831,3.82083091687
20.1762452107,6.69874114617
20.1762452107,9.41166330916
20.1762452107,11.8141684905
20.1762452107,13.7682193414
20.1762452107,15.1511162956
20.7873563218,15.863062217
20.7873563218,15.8338816228
20.7873563218,15.0284589757
20.7873563218,13.4505170124
20.7873563218,11.1444377857
19.4564176245,8.1949315308
19.4564176245,4.72447570938
19.4564176245,0.888571801985
19.4564176245,-3.13100677186
19.4564176245,-7.13468321788
18.2763409962,-10.9148648163
18.2763409962,-14.2665663954
18.2763409962,-16.9983266403
18.2763409962,-18.9428422026
18.2763409962,-19.9667431709
18.367816092,-19.9789627956
18.367816092,-18.9372131288
18.367816092,-16.8521636084
18.367816092,-13.7890274719
18.367816092,-9.86638600956
19.1163793103,-5.25221705791
19.1163793103,-0.157235269678
19.1163793103,5.17420916888
19.1163793103,10.4752962411
19.1163793103,15.4694736496
20.287835249,19.8841789763
20.287835249,23.4648902891
20.287835249,25.9888097895
20.287835249,27.2774783034
20.287835249,27.2076455298
21.2341954023,25.7197819779
21.2341954023,22.8237119526
21.2341954023,18.6009697451
21.2341954023,13.2036288117
21.2341954023,6.84952020982
21.5814176245,-0.18606530323
21.5814176245,-7.58191554516
21.5814176245,-14.9852235239
21.5814176245,-22.0280889981
21.5814176245,-28.3454439878
23.1441570881,-33.5935458148
23.1441570881,-37.4681152603
23.1441570881,-39.7211764598
23.1441570881,-40.1756827374
23.1441570881,-38.7370897406
26.596743295,-35.4011623566
26.596743295,-30.2574705103
26.596743295,-23.4882339426
26.596743295,-15.3624078156
26.596743295,-6.22514785872
31.3759578544,3.51695733256
31.3759578544,13.4142621343
31.3759578544,22.9952115778
31.3759578544,31.7892513634
31.3759578544,39.3503668608
34.3386015326,45.2800518867
34.3386015326,49.2485055726
34.3386015326,51.0129183951
34.3386015326,50.4318345252
34.3386015326,47.4747613556
33.6077586207,42.2264291899
33.6077586207,34.8853724571
33.6077586207,25.7567939452
33.6077586207,15.2399695693
33.6077586207,3.81073673347
30.787835249,-8.00013136199
30.787835249,-19.6316443684
30.787835249,-30.5192189864
30.787835249,-40.1219162822
